ERX1007909	SAMEA3467019
ERX1007910	SAMEA3467020
ERX1007911	SAMEA3466925
ERX1007912	SAMEA3466926
ERX1007913	SAMEA3466927
ERX1007914	SAMEA3466928
ERX1007915	SAMEA3466929
ERX1007916	SAMEA3466930
ERX1007917	SAMEA3466931
ERX1007918	SAMEA3466932
ERX1007919	SAMEA3466933
ERX1007920	SAMEA3466934
ERX1007921	SAMEA3466935
ERX1007922	SAMEA3466936
ERX1007923	SAMEA3466937
ERX1007924	SAMEA3466938
ERX1007925	SAMEA3466939
ERX1007926	SAMEA3466940
ERX1007927	SAMEA3466941
ERX1007928	SAMEA3466942
ERX1007929	SAMEA3466943
ERX1007930	SAMEA3466944
ERX1007931	SAMEA3466945
ERX1007932	SAMEA3466946
ERX1007933	SAMEA3466947
ERX1007934	SAMEA3466948
ERX1007935	SAMEA3466949
ERX1007936	SAMEA3466950
ERX1007937	SAMEA3466951
